id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1094,to open a door,open door,"['open', 'door']",open door,Key,key,0.04212,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,1.0143977652888216,1.0143977652888223,0.7210413249336923,0.7758721830113458,0.7210413249336923,1,1,1.0
1094,to scratch something into the sidewalk,scratch something sidewalk,"['scratch', 'sidewalk']",scratch sidewalk,Key,key,0.06074,1.0226,0.96624,1.03,1.13652,0.71791,0.97465,1.0880289055341983,0.959405443401692,0.953875930298882,0.9138987720030883,0.8449721552067408,3,3,3.0
1094,use to separate two things that are stuck together,use separate two things stuck together,"['separate', 'stuck']",separate stuck,Key,key,0.0412,0.98782,0.97968,0.99077,0.96344,1.33179,1.0507,1.000954082365125,0.9554502427472712,0.925272357937352,0.906741854505433,0.555117133457799,3,4,3.5
1094,scratch an itch,scratch itch,"['scratch', 'itch']",scratch itch,Key,key,-0.00096,0.92134,1.05422,0.94818,0.9073,0.96332,0.95887,1.0542190300928616,0.959405443401692,0.978209919768317,0.9138987720030883,0.8449721552067408,3,3,3.0
1093,unlocking,unlocking,['unlocking'],unlocking,Key,key,-0.33545,0.58123,0.5551200000000001,0.74388,0.86419,0.75956,0.7008,0.555117133457799,0.7741794011897476,0.555117133457799,0.7489841779378668,0.555117133457799,1,1,1.0
1093,locking,locking,['locking'],locking,Key,key,-0.24801,0.64657,0.69607,0.82316,0.8709899999999999,0.84131,0.77562,0.6960656176390764,0.9550763130582598,0.6960656176390764,0.7489841779378668,0.555117133457799,1,1,1.0
1093,hiding,hiding,['hiding'],hiding,Key,key,-0.18795,0.69076,0.8064,0.84593,0.95165,0.83761,0.82647,0.8063992854508595,0.9554502427472712,0.8063992854508595,0.906741854505433,0.555117133457799,5,3,4.0
1093,discovering,discovering,['discovering'],discovering,Key,key,-0.12863,0.77019,0.86015,0.87886,0.97857,0.83939,0.86543,0.860145375279425,0.860145375279425,0.860145375279425,0.906741854505433,0.555117133457799,4,5,4.5
1093,starting a car,starting car,"['starting', 'car']",starting car,Key,key,0.06166,0.96883,1.11883,0.97603,0.97372,1.29952,1.06739,1.1188297917595307,1.0347064001651372,0.949406627774263,0.9146310134850896,0.949406627774263,1,2,1.5
1093,turning off a car,turning car,"['turning', 'car']",turning car,Key,key,0.07936,0.99751,1.09845,1.02951,0.91709,1.33149,1.07481,1.0984501059955596,1.0347064001651372,0.9548686656206576,0.9146310134850896,0.790559950222787,1,2,1.5
1093,music,music,['music'],music,Key,key,-0.06673,0.83154,0.94839,0.95753,0.90333,0.85143,0.89844,0.9483914562075125,0.9554502427472712,0.9483914562075125,0.906741854505433,0.555117133457799,3,5,4.0
1093,put on a chain,put chain,['chain'],chain,Key,key,0.03685,0.957,1.00875,0.98558,1.00074,1.32211,1.05484,0.7744574874556008,0.7922947307470591,0.7744574874556008,0.906741854505433,0.555117133457799,3,4,3.5
1093,jangling,jangling,['jangling'],jangling,Key,key,-0.16976,0.75067,0.6819200000000001,0.87512,1.03892,0.95531,0.86039,0.6819189738244722,0.9554502427472712,0.6819189738244722,0.906741854505433,0.555117133457799,2,5,3.5
1159,open doors,open doors,"['open', 'door']",open door,Key,key,0.06653,0.93745,1.04888,1.07998,1.03097,1.29673,1.0788,1.0143977652888216,1.0143977652888223,0.7210413249336923,0.7758721830113458,0.7210413249336923,1,1,1.0
1159,jewelry,jewelry,['jewelry'],jewelry,Key,key,-0.10874,0.7568,0.84099,0.98246,0.96132,0.92771,0.89386,0.8409866901593459,0.9554502427472712,0.8409866901593459,0.8557600366425695,0.555117133457799,3,4,3.5
1159,decoration,decoration,['decoration'],decoration,Key,key,-0.01498,0.93845,0.88005,0.95936,1.04825,1.00878,0.96698,0.8800468864821644,0.9554502427472712,0.8800468864821644,0.906741854505433,0.8800468864821644,3,4,3.5
1195,unlock door,unlock door,"['unlock', 'door']",unlock door,Key,key,0.05292,0.97084,1.01924,1.03137,0.99621,1.18833,1.0412,1.0192433630545952,1.0192433630545954,0.6078628085679912,0.6078628085679915,0.6078628085679912,1,1,1.0
1195,cut something,cut something,['cut'],cut,Key,key,0.07948,1.01791,0.98149,1.04075,1.05736,1.35588,1.09068,1.025961338132868,0.9554502427472712,1.025961338132868,1.0080157749303713,1.025961338132868,2,3,2.5
1195,melt into metal,melt metal,"['melt', 'metal']",melt metal,Key,key,0.0406,0.90916,1.00212,1.0659,1.10329,1.11765,1.03962,1.0021220620815277,0.9554502427472712,0.984864755280466,0.906741854505433,0.555117133457799,4,5,4.5
1195,dip in paint and paint something,dip paint paint something,"['dip', 'paint', 'paint']",dip paint paint,Key,key,0.01613,0.96131,0.94295,0.99238,0.89684,1.38109,1.03491,0.9724737785423232,0.9554502427472712,1.0090311478821525,0.9146310134850896,0.8449721552067408,5,4,4.5
