id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1159,wear on feet,wear feet,"['wear', 'foot']",wear foot,Shoe,shoe,0.1434,1.14806,1.11889,0.99901,1.05112,1.00992,1.0654,0.8863713465607271,0.8448353415654145,0.7819542662471728,0.8022547880494064,0.7819542662471728,1,1,1.0
1159,to put stuff in,put stuff,['stuff'],stuff,Shoe,shoe,0.09572,1.00684,0.99932,1.06153,0.88234,1.12912,1.01583,0.919910110236957,0.9246812626035272,0.919910110236957,0.9073192245732706,0.4641070336467832,3,3,3.0
1159,to workout in,workout,['workout'],workout,Shoe,shoe,-0.11277,0.85628,0.8188,0.83366,0.96214,0.85576,0.86533,0.8336631185667747,0.9246812626035272,0.8336631185667747,0.9073192245732706,0.4641070336467832,1,1,1.0
1159,to use as a bug killer,use bug killer,"['bug', 'killer']",bug killer,Shoe,shoe,0.00311,0.90506,0.98642,1.01619,0.9306,0.93217,0.95409,0.9860813530691279,1.002658996274708,0.9697447173846434,0.9652554239856516,0.873212514604971,2,3,2.5
1159,to use as a decoration,use decoration,['decoration'],decoration,Shoe,shoe,0.07513,1.06171,0.92742,0.90422,1.07697,1.09134,1.01233,0.9055498120657952,0.9246812626035272,0.9055498120657952,0.9073192245732706,0.4641070336467832,3,4,3.5
1104,putting on your feet,putting feet,"['putting', 'foot']",putting foot,Shoe,shoe,0.09987,1.13939,1.01785,0.91837,1.00091,1.0467,1.02464,0.957222500809919,0.9036654490041273,0.9857168991755392,0.8793025345872965,0.6391092624093502,1,1,1.0
1104,hitting a bug,hitting bug,"['hitting', 'bug']",hitting bug,Shoe,shoe,0.1222,1.1814,1.0367,0.9808,1.02583,1.00179,1.0453,0.9808028878306158,0.9446098559677885,0.9697447173846434,0.9390807707448023,0.9084168241049613,2,3,2.5
1104,dog toy,dog toy,"['dog', 'toy']",dog toy,Shoe,shoe,0.07596,1.02058,0.97744,1.04055,1.02751,1.0072,1.01466,1.0405513098558101,0.9246812626035272,0.7840299920896305,0.9073192245732706,0.4641070336467832,3,3,3.0
1093,killing a bug,killing bug,"['killing', 'bug']",killing bug,Shoe,shoe,0.10531,1.11177,0.98996,1.01648,0.98766,1.0458,1.03033,1.0164815404076377,1.002658996274708,0.9825074967679137,0.9652554239856516,0.873212514604971,2,3,2.5
1093,wearing on a foot,wearing foot,"['wearing', 'foot']",wearing foot,Shoe,shoe,0.09486,1.12419,1.07073,0.96751,0.96209,0.97832,1.02057,0.967514911021158,0.9036654490041273,0.8145450933242222,0.8793025345872965,0.6391092624093502,1,1,1.0
1093,throwing over a power line,throwing power line,"['throwing', 'power', 'line']",throwing power line,Shoe,shoe,-0.03278,0.86147,0.9496,1.02721,0.91794,0.88109,0.92746,1.027208326258838,0.9246812626035272,0.9928396160240898,0.9073192245732706,0.4641070336467832,4,3,3.5
1093,selling,selling,['selling'],selling,Shoe,shoe,-0.09216,0.84204,0.92941,0.89685,0.96769,0.79094,0.88539,0.8968488510363477,0.9246812626035272,0.8968488510363477,0.9073192245732706,0.4641070336467832,3,4,3.5
1093,throwing,throwing,['throwing'],throwing,Shoe,shoe,-0.08209,0.83038,0.88037,0.99284,1.00628,0.78348,0.89867,0.9928396160240898,0.9246812626035272,0.9928396160240898,0.9073192245732706,0.4641070336467832,2,3,2.5
1141,to wear on foot,wear foot,"['wear', 'foot']",wear foot,Shoe,shoe,0.09522,1.12284,1.07834,0.88637,1.00337,1.0188,1.02194,0.8863713465607271,0.8448353415654145,0.7819542662471728,0.8022547880494064,0.7819542662471728,1,1,1.0
