id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,novelty_1,novelty_2,novelty_m
1094,to open a door,open door,"['open', 'door']",open door,Key,key,0.04212,0.93277,1.0144,1.03777,1.0152,1.27524,1.05508,1.015202125237945,1.015202125237945,0.8618755440394672,0.865706170576715,1,1,1.0
1094,to scratch something into the sidewalk,scratch something sidewalk,"['scratch', 'sidewalk']",scratch sidewalk,Key,key,0.06074,1.0226,0.96624,1.03,1.13652,0.71791,0.97465,0.8629836728730459,0.9754052807465728,1.1219044269021794,1.0177317516066087,3,3,3.0
1094,use to separate two things that are stuck together,use separate two things stuck together,"['separate', 'stuck']",separate stuck,Key,key,0.0412,0.98782,0.97968,0.99077,0.96344,1.33179,1.0507,0.9583806436722988,0.9662758739807864,0.9873965149580451,0.9873965149580451,3,4,3.5
1094,scratch an itch,scratch itch,"['scratch', 'itch']",scratch itch,Key,key,-0.00096,0.92134,1.05422,0.94818,0.9073,0.96332,0.95887,0.9072977473024569,0.9754052807465728,0.9689938618692847,0.9689938618692847,3,3,3.0
1093,unlocking,unlocking,['unlocking'],unlocking,Key,key,-0.33545,0.58123,0.5551200000000001,0.74388,0.86419,0.75956,0.7008,0.8641936517916086,0.9710387817227458,0.8641936517916086,0.8641936517916087,1,1,1.0
1093,locking,locking,['locking'],locking,Key,key,-0.24801,0.64657,0.69607,0.82316,0.8709899999999999,0.84131,0.77562,0.8709855355229618,0.9662758739807864,0.8709855355229618,0.9708745231356359,1,1,1.0
1093,hiding,hiding,['hiding'],hiding,Key,key,-0.18795,0.69076,0.8064,0.84593,0.95165,0.83761,0.82647,0.9516526512191432,0.9662758739807864,0.9516526512191432,0.9516526512191432,5,3,4.0
1093,discovering,discovering,['discovering'],discovering,Key,key,-0.12863,0.77019,0.86015,0.87886,0.97857,0.83939,0.86543,0.9785709783831013,0.9662758739807864,0.9785709783831013,0.9850187360930283,4,5,4.5
1093,starting a car,starting car,"['starting', 'car']",starting car,Key,key,0.06166,0.96883,1.11883,0.97603,0.97372,1.29952,1.06739,0.9737205708925042,0.9992301872363968,1.0076881840172645,0.9857675193484535,1,2,1.5
1093,turning off a car,turning car,"['turning', 'car']",turning car,Key,key,0.07936,0.99751,1.09845,1.02951,0.91709,1.33149,1.07481,0.9170949344238521,0.9992301872363968,0.9438214136214045,0.9857675193484535,1,2,1.5
