id,response,response_nofill,response_processed,response_processed_phrase,item,item_nofill,SemDis_factor,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,ewm_vector_cosine_dis,ewm_vector_cosine_dis_clus_avg,minima_vector_cosine_dis,minima_vector_cosine_dis_clus_avg,minima_vector_cosine_dis_clus_min,novelty_1,novelty_2,novelty_m
1159,to sit in,sit,['sit'],sit,Chair,chair,-0.30458,0.52459,0.62367,0.71029,0.55773,0.53034,0.58932,0.5577289986853208,0.5577289986853204,0.5577289986853208,0.5577289986853204,0.5577289986853208,1,1,1.0
1159,to stand on top of,stand top,['stand'],stand,Chair,chair,0.21807,1.05905,1.02163,1.11245,0.9744,1.15397,1.0643,0.9039331955072699,0.9475596398838428,0.9039331955072699,0.9669608433355107,0.9039331955072699,2,2,2.0
1159,to make a piece of art,make piece art,"['piece', 'art']",piece art,Chair,chair,0.07184,0.85759,0.97935,1.04098,0.98406,0.74543,0.92148,0.9173117582943062,0.8807980214712284,1.017963029161807,0.8880536972453135,0.4065950963308498,4,3,3.5
1159,to decorate,decorate,['decorate'],decorate,Chair,chair,0.03721,0.85847,0.85429,0.96212,1.01204,0.93484,0.92435,1.0120369644319895,0.9923801408417033,1.0120369644319895,1.0120369644319895,1.0120369644319895,3,3,3.0
1159,to play with,play,['play'],play,Chair,chair,0.01482,0.77497,0.94431,0.94171,0.99802,0.86842,0.90549,0.9980163672684484,0.8582548755440189,0.9980163672684484,0.9875928140282326,0.8953700879631987,3,3,3.0
1104,sitting on,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.57529,0.70727,0.43393,0.46723,0.53828,0.43393216228115417,0.8807980214712284,0.43393216228115417,0.8880536972453135,0.4065950963308498,1,1,1.0
1104,weighing something down,weighing something,['weighing'],weighing,Chair,chair,0.16449,1.10142,1.0087,0.93607,0.87572,1.11534,1.00745,0.9813497554233604,0.8807980214712284,0.9813497554233604,0.8880536972453135,0.4065950963308498,2,3,2.5
1104,building a fort,building fort,"['building', 'fort']",building fort,Chair,chair,0.11595,0.9504,1.02186,0.92591,0.96752,1.10965,0.99507,0.9675241268667576,0.8807980214712284,1.0494026931751124,0.8880536972453135,0.4065950963308498,5,3,4.0
1093,sitting,sitting,['sitting'],sitting,Chair,chair,-0.34181,0.50769,0.57529,0.70727,0.43393,0.46723,0.53828,0.43393216228115417,0.8807980214712284,0.43393216228115417,0.8880536972453135,0.4065950963308498,1,1,1.0
1093,standing,standing,['standing'],standing,Chair,chair,-0.18053,0.65841,0.75055,0.71419,0.9067,0.60756,0.72748,0.9067019700241773,0.9439295266492987,0.9067019700241773,0.9605845876376334,0.9067019700241773,2,2,2.0
